Date,QQQ,IWM,SPY,ACWI,XLE,XLF,VNQ,XLU,XLV,XLK,XLP,XLY,XLI,XLB,XLC,EWA,EFA,EZU,EWG,EWJ,EWS,EWU,FLGB,GURU,ARKK,SKYY,ICLN,GRID,EWZ,FXI,EEM,INDA,EWY,EZA,EWT,EWW,EIDO,VNM,KSA,AAXJ,EWH,VPL,CNYA,ASEA,THD,EPHE,XAR,ITA,BIL,EMLC,EMB,HYG,LQD,BKLN,SHY,TLT,IEF,AGG,TIP,MUB,CWB,VCSH,PFF,HYD,BNDW,IHY,IGIB,BNDX,IGOV,DBA,DBC,COPX,GLD,UNG,SLV,BNO,PPLT,URA,WEAT,LIT,VALE,CORN,SOYB,PALL,CPER,BTC-USD,ETH-USD,SOL-USD,AUDUSD=X,EURUSD=X,GBPUSD=X,DX-Y.NYB,CHF=X,JPY=X,SGD=X,CAD=X,MXN=X,KRW=X,BRL=X,VXX,VIXY,IFRA,PSP,AMLP,REET,BCI,PDBC,KBWY
2019-10-25,21507100.0,10531500.0,45205400.0,1268100.0,23750000.0,28330200.0,4184600.0,33850200.0,5536900.0,16305400.0,7518600.0,5472600.0,7718500.0,8075000.0,1210800.0,2595400.0,17184200.0,2320000.0,1324200.0,4427800.0,401100.0,2363400.0,1500.0,3500.0,176500.0,155700.0,382000.0,6300.0,26030500.0,18287800.0,49443700.0,6052900.0,2291800.0,206000.0,2788800.0,1700500.0,522900.0,117100.0,168100.0,467400.0,3031700.0,1454500.0,4300.0,4100.0,143400.0,78300.0,225600.0,222800.0,857300.0,6946800.0,1786500.0,11593600.0,6263000.0,4464000.0,982900.0,5669800.0,2381000.0,2486600.0,807700.0,507300.0,385200.0,948600.0,2741100.0,312300.0,12300.0,6800.0,486800.0,1571500.0,63700.0,386400.0,525200.0,69000.0,6011500.0,409575.0,25824800.0,358700.0,1004000.0,69400.0,10720.0,124400.0,28137900.0,26100.0,49200.0,56500.0,7100.0,28705065488.0,10358594018.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405947.0,34491.0,600.0,7160.0,6850220.0,355700.0,14300.0,328500.0,28500.0
2019-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44496255609.0,13831784986.0,,,,,,,,,,,,,,,,,,,,,
2019-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32593129501.0,10815941952.0,,,,,,,,,,,,,,,,,,,,,
2019-10-28,18818700.0,15392400.0,42147000.0,1142600.0,23513200.0,50104600.0,4897400.0,50137200.0,6937900.0,14459800.0,11154200.0,3823400.0,8138200.0,6809000.0,2882900.0,1029000.0,16490600.0,3393900.0,5557400.0,5259300.0,296000.0,2310100.0,2200.0,4100.0,239400.0,448000.0,389100.0,4000.0,18366000.0,22893700.0,56279100.0,3016400.0,1910900.0,266800.0,2535800.0,2853100.0,668900.0,79800.0,592400.0,1494100.0,6046900.0,371700.0,20100.0,2100.0,138100.0,178300.0,124000.0,284200.0,1936500.0,832200.0,4973500.0,10646500.0,9081600.0,8431200.0,2045000.0,11402100.0,5837600.0,2948300.0,1007800.0,767000.0,358700.0,1185600.0,2691000.0,311800.0,22700.0,4300.0,600200.0,1302500.0,49500.0,138200.0,538100.0,53100.0,5442000.0,1210425.0,13873300.0,367600.0,1376000.0,54100.0,13560.0,123800.0,21694600.0,119300.0,52600.0,119500.0,7600.0,30948255332.0,10406734124.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406180.0,25391.0,3800.0,11060.0,2853600.0,269200.0,19600.0,648000.0,19400.0
2019-10-29,18569700.0,11978300.0,44284900.0,1343600.0,26936800.0,48458100.0,5512200.0,39544800.0,13768400.0,15520800.0,10072400.0,4341400.0,10429100.0,8291000.0,1788600.0,2590500.0,15251900.0,2040400.0,2060000.0,5068700.0,258000.0,1589700.0,900.0,5900.0,401500.0,151100.0,289200.0,3200.0,16062000.0,16516700.0,33949800.0,2976300.0,1583000.0,202500.0,2078300.0,1797200.0,261500.0,257500.0,318600.0,389200.0,3261700.0,256800.0,42300.0,3200.0,90800.0,72700.0,63100.0,208400.0,486100.0,612200.0,3403100.0,10655700.0,9236700.0,3620500.0,1768700.0,5296600.0,2199500.0,2384700.0,776500.0,681000.0,331000.0,1079000.0,3126800.0,250200.0,8300.0,5200.0,680700.0,1051700.0,76000.0,276500.0,549900.0,52300.0,3835400.0,1715125.0,13722400.0,362400.0,354000.0,54600.0,7140.0,106900.0,16324600.0,31200.0,18200.0,65500.0,9900.0,28426779937.0,10622761958.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360914.0,22496.0,1300.0,9260.0,4740240.0,464100.0,10800.0,787000.0,25400.0
2019-10-30,21764300.0,14451500.0,49643900.0,2386700.0,31013400.0,51106700.0,3861400.0,39360600.0,10179700.0,25558600.0,7216400.0,5615400.0,9208200.0,12694400.0,3900600.0,1772600.0,22592900.0,5298500.0,2623300.0,6798700.0,275400.0,1924300.0,3900.0,3500.0,178200.0,167800.0,498900.0,5500.0,24002100.0,22948500.0,60881000.0,4136700.0,2107100.0,438300.0,4192100.0,2180900.0,780300.0,120900.0,432000.0,1011400.0,3136700.0,386500.0,190300.0,13100.0,207400.0,69500.0,123300.0,355000.0,1025500.0,1603400.0,3228600.0,24566400.0,12250700.0,2316400.0,1622500.0,10914100.0,5276700.0,2381400.0,738500.0,870500.0,336200.0,1353500.0,3235400.0,158000.0,13700.0,14500.0,531600.0,1002700.0,43900.0,170600.0,971200.0,27500.0,6992900.0,1238750.0,15563700.0,847700.0,356000.0,139000.0,13040.0,76800.0,16135900.0,52800.0,11900.0,81500.0,800.0,27706531577.0,10484902804.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605688.0,40628.0,1800.0,6560.0,2970260.0,165100.0,11200.0,551900.0,36000.0
2019-10-31,26801800.0,17344200.0,69053800.0,3823800.0,30064800.0,56795500.0,4723500.0,34491800.0,9675200.0,22461800.0,12628100.0,6074000.0,10693200.0,14273400.0,4059900.0,1730400.0,22047900.0,8518300.0,2897900.0,7278200.0,476500.0,2165400.0,5500.0,1900.0,157000.0,102400.0,503000.0,1700.0,27495700.0,24679500.0,56057700.0,5716300.0,2647400.0,433300.0,3928900.0,2215700.0,524700.0,171100.0,1943500.0,588900.0,3399500.0,387300.0,2900.0,8000.0,141800.0,136000.0,83800.0,304600.0,1240700.0,3390400.0,3954300.0,24576400.0,18082800.0,7518800.0,2719200.0,15834100.0,5540700.0,5399100.0,1396700.0,678600.0,455400.0,1553700.0,4358200.0,395500.0,8100.0,5100.0,1111000.0,1566800.0,149400.0,316800.0,761900.0,34100.0,7050900.0,1201700.0,15539200.0,694600.0,619000.0,80500.0,38500.0,128600.0,16008300.0,80000.0,85000.0,78000.0,8000.0,26583653947.0,9607939606.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472597.0,32300.0,1600.0,7020.0,4155040.0,101100.0,11700.0,597100.0,58500.0
2019-11-01,22131900.0,18421600.0,71141500.0,1985900.0,26620200.0,42302300.0,6520400.0,31381800.0,14670800.0,19841200.0,10232000.0,6429600.0,19657900.0,9332600.0,3450700.0,2677000.0,32338600.0,2934000.0,2151900.0,7105000.0,818700.0,5470000.0,1700.0,3200.0,354000.0,97400.0,259100.0,3100.0,36244000.0,31607900.0,72772400.0,4979800.0,3486900.0,477600.0,2717000.0,4123300.0,755900.0,322300.0,713600.0,479700.0,6880300.0,429000.0,4900.0,500.0,254500.0,349300.0,123100.0,134800.0,5615400.0,752900.0,8561800.0,23894100.0,11238400.0,8107700.0,3436200.0,11425500.0,8149400.0,3988300.0,7946400.0,926400.0,1240900.0,2416000.0,4255100.0,428600.0,14800.0,94900.0,518400.0,1789300.0,1099200.0,279700.0,1221500.0,29900.0,8090000.0,1153175.0,13063200.0,926400.0,1164000.0,56100.0,7240.0,101100.0,24896100.0,42800.0,31100.0,567500.0,22000.0,24324691031.0,9145611130.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480303.0,46310.0,1800.0,12440.0,2738680.0,286200.0,12600.0,561500.0,27600.0
2019-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21242676385.0,8087991830.0,,,,,,,,,,,,,,,,,,,,,
2019-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21132220847.0,8760247744.0,,,,,,,,,,,,,,,,,,,,,
